time,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,meas_x,meas_y,meas_z,gnss_error_mag,wind_x,wind_y,wind_z,wind_mag,rep_force_mag,nearest_neighbor_dist,target_x,target_y,target_z,tracking_error_mag,collision_flag
0.046,-0.5,0.5,0.0594,-0.0,-0.0001,1.3162,0.0615,1.0121,0.4751,0.8662,0.001,-0.0004,-0.0002,0.0011,0.0,6.817,-0.5,0.5,0.0,0.0594,1
0.087,-0.5,0.5,0.1087,-0.0,-0.0001,1.0736,0.0606,1.0123,0.5112,0.8595,0.0003,-0.0001,-0.0006,0.0007,0.0,6.817,-0.5,0.5,0.0,0.1087,0
0.129,-0.5,0.5,0.1479,-0.0,-0.0002,0.8327,0.0595,1.0126,0.5493,0.8585,0.0002,0.0007,-0.0003,0.0008,0.0,6.818,-0.5,0.5,0.0,0.1479,0
0.171,-0.5,0.5,0.1771,0.0,-0.0002,0.5932,0.0587,1.0129,0.5703,0.8543,-0.0002,-0.0001,0.0002,0.0003,0.0,6.818,-2.0,-0.5,0.0,1.8114,0
0.212,-0.5,0.5,0.1964,0.0,-0.0002,0.3552,0.0578,1.0132,0.585,0.8518,-0.0004,0.0003,-0.0,0.0005,0.0,6.819,-2.0,-0.5,0.0,1.8134,0
0.254,-0.5,0.5,0.2057,0.0,-0.0003,0.1187,0.2078,1.2241,0.8653,1.2085,0.0006,0.0003,0.0002,0.0007,0.0,6.569,-2.0,-0.5,0.0,1.8145,0
0.295,-0.5,0.4999,0.2053,0.0,-0.0004,-0.1163,0.2073,1.2242,0.8638,1.2077,0.0,-0.0,0.0001,0.0001,0.0,6.57,-2.0,-0.5,0.0,1.8144,0
0.337,-0.5,0.4999,0.1955,0.0001,-0.0005,-0.2869,0.2068,1.2242,0.8561,1.2085,0.0,0.0001,-0.0001,0.0002,0.0,6.57,-1.5364,-0.0174,0.637,1.2396,0
0.379,-0.4999,0.4998,0.1849,0.0052,-0.007,-0.2311,0.2062,1.2242,0.8431,1.2068,-0.0,0.0,0.0003,0.0003,0.0,6.571,-1.5402,0.0203,0.637,1.2315,0
0.42,-0.4995,0.4989,0.1762,0.0159,-0.0378,-0.203,0.2745,1.3225,0.9072,1.346,-0.0001,0.0,-0.0,0.0001,0.0,6.456,-1.5429,0.0756,0.637,1.2167,0
0.462,-0.4986,0.4961,0.1669,0.0223,-0.0968,-0.23,0.2761,1.3203,0.9003,1.3481,0.0,-0.0002,0.0002,0.0002,0.0,6.456,-1.543,0.0936,0.637,1.214,0
0.503,-0.498,0.4892,0.1598,0.0017,-0.2413,-0.0709,0.2782,1.3138,0.8923,1.3486,-0.0001,-0.0001,-0.0,0.0001,0.0,6.458,-1.3933,0.3665,0.955,1.2038,0
0.541,-0.4991,0.4771,0.16,-0.0567,-0.382,0.0319,0.3388,1.3377,0.9847,1.457,0.0,0.0001,0.0001,0.0002,0.0,6.396,-1.3903,0.3797,0.955,1.1982,0
0.582,-0.5038,0.458,0.1618,-0.1747,-0.5255,0.06,0.3353,1.3234,0.9881,1.4614,0.0001,0.0001,0.0002,0.0003,0.0,6.408,-1.387,0.388,0.993,1.2148,0
0.624,-0.5155,0.4329,0.1649,-0.3749,-0.6598,0.0815,0.3276,1.3052,0.9923,1.4685,-0.0001,0.0001,-0.0001,0.0002,0.0,6.425,-1.3791,0.4268,0.993,1.1965,0
0.666,-0.5369,0.4032,0.1681,-0.6338,-0.748,0.0683,0.308,1.2761,0.9983,1.4714,-0.0003,0.0006,-0.0004,0.0008,0.0,6.459,-1.3755,0.4535,0.993,1.1774,0
0.707,-0.57,0.371,0.1703,-0.9421,-0.7817,0.0541,0.2848,1.2522,1.002,1.4828,-0.0012,-0.0,-0.0009,0.0015,0.0,6.492,-1.2503,0.5582,1.12,1.1831,0
0.749,-0.6167,0.339,0.1724,-1.2572,-0.7485,0.0384,0.2789,1.2561,1.0438,1.5499,0.0,0.0,0.0008,0.0008,0.0,6.494,-1.2502,0.5724,1.12,1.1635,0
0.79,-0.6752,0.3094,0.173,-1.5162,-0.6758,-0.0041,0.2203,1.2287,1.0448,1.5515,0.0004,-0.001,-0.0007,0.0012,0.0,6.557,-1.2522,0.6369,1.12,1.1563,0
0.832,-0.7434,0.2833,0.1724,-1.7317,-0.5872,-0.0239,0.1688,1.2106,1.0445,1.5661,-0.0002,0.0007,0.0018,0.0019,0.0,6.608,-1.3194,0.6065,1.109,1.1461,0
0.874,-0.8196,0.2607,0.1712,-1.9018,-0.5062,-0.0266,0.1119,1.1949,1.0437,1.5817,0.0006,-0.0012,0.002,0.0024,0.0,6.663,-1.321,0.6466,1.109,1.1312,0
0.915,-0.9021,0.2411,0.1705,-2.0362,-0.4422,-0.0073,0.0295,1.1772,1.043,1.5828,-0.0005,-0.0017,0.0004,0.0018,0.0,6.738,-1.3192,0.7075,1.109,1.128,0
0.957,-0.9893,0.2237,0.1708,-2.1341,-0.4016,0.0201,-0.02,1.1938,1.0671,1.6383,-0.0004,0.0015,0.0004,0.0016,0.0,6.736,-1.392,0.6937,1.152,1.1601,0
0.998,-1.0798,0.2074,0.1723,-2.2008,-0.3903,0.0441,-0.0874,1.1837,1.0693,1.6561,0.0,0.0007,-0.0019,0.002,0.0,6.689,-1.4543,0.7047,1.143,1.1532,0
1.04,-1.1725,0.1908,0.1744,-2.2412,-0.4062,0.058,-0.1798,1.1703,1.0731,1.6591,0.001,0.001,0.0,0.0014,0.0,6.625,-1.4372,0.7685,1.143,1.1584,0
1.082,-1.2664,0.1732,0.1765,-2.2593,-0.4401,0.0323,-0.2339,1.1091,1.127,1.6869,0.0008,0.0011,-0.0035,0.0037,0.0,6.622,-1.4295,0.7864,1.143,1.1562,0
1.123,-1.3606,0.1539,0.1772,-2.2621,-0.4826,0.0101,-0.3045,1.0961,1.1287,1.7054,-0.0007,-0.0003,-0.0004,0.0008,0.0,6.576,-1.4137,0.816,1.143,1.1721,0
1.165,-1.4548,0.1329,0.1758,-2.2559,-0.5204,-0.0708,-0.3986,1.0771,1.129,1.7076,0.0003,-0.0,0.0011,0.0011,0.0,6.517,-1.5053,0.8811,1.083,1.177,0
1.206,-1.5485,0.1104,0.1717,-2.2416,-0.5548,-0.1143,-0.4688,1.0618,1.1272,1.7274,0.0003,0.0001,0.0007,0.0007,0.0,6.474,-1.5003,0.893,1.083,1.2021,0
1.248,-1.6414,0.0867,0.1672,-2.2226,-0.5798,-0.0965,-0.5386,1.0456,1.1249,1.7473,-0.0001,-0.0004,0.0022,0.0022,0.0,6.432,-1.5613,0.9941,1.113,1.3131,0
1.29,-1.7337,0.0624,0.1631,-2.2085,-0.5829,-0.1121,-0.6402,1.0393,1.1624,1.7745,-0.0006,0.0002,0.001,0.0011,0.0,6.361,-1.5566,1.028,1.113,1.3661,0
1.331,-1.8253,0.0385,0.1582,-2.1899,-0.5597,-0.1196,-0.7076,1.0225,1.1594,1.7944,-0.0006,0.0008,-0.0015,0.0018,0.0,6.323,-1.5513,1.0619,1.113,1.4262,0
1.373,-1.9159,0.0162,0.1534,-2.1573,-0.5094,-0.1086,-0.7743,1.0065,1.1564,1.8138,0.0005,0.0004,0.0009,0.0011,0.0,6.285,-1.5605,1.1797,1.111,1.5482,0
1.414,-2.0047,-0.0033,0.1493,-2.1068,-0.4285,-0.0895,-0.8616,0.9879,1.1532,1.8157,0.0006,-0.0015,-0.0019,0.0025,0.0,6.235,-1.5574,1.1966,1.111,1.6014,0
1.46,-2.0993,-0.02,0.1456,-2.0243,-0.3084,-0.0724,-0.9251,0.9768,1.1514,1.8395,-0.0003,0.0006,0.0,0.0006,0.0,6.198,-1.5471,1.247,1.111,1.6859,0
1.502,-2.1812,-0.0297,0.1435,-1.9121,-0.1708,-0.0344,-1.057,0.9814,1.1432,1.8126,-0.0,-0.0004,-0.0001,0.0004,0.0,6.101,-1.5396,1.2805,1.111,1.7505,0
1.543,-2.2576,-0.0336,0.1428,-1.7665,-0.0275,-0.0049,-1.1138,0.9793,1.1421,1.8256,-0.0002,-0.0011,0.0009,0.0015,0.0,6.063,-1.5823,1.4085,1.125,1.8709,0
1.585,-2.3274,-0.0314,0.1431,-1.5968,0.1198,0.0189,-1.2014,0.9483,1.1247,1.7864,-0.001,0.0004,0.003,0.0032,0.0,6.025,-1.5499,1.52,1.127,1.9949,0
1.627,-2.3898,-0.0229,0.1443,-1.4127,0.2713,0.0317,-1.2611,0.9547,1.1264,1.7873,-0.0012,0.0004,-0.0001,0.0012,0.0,5.98,-1.5359,1.5696,1.127,2.0569,0
1.668,-2.4443,-0.0083,0.1453,-1.2223,0.4166,0.0158,-1.2999,0.9642,1.1278,1.7946,-0.0005,-0.0008,-0.0005,0.0011,0.0,5.946,-1.5259,1.6024,1.127,2.0979,0
