time,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,meas_x,meas_y,meas_z,gnss_error_mag,wind_x,wind_y,wind_z,wind_mag,rep_force_mag,nearest_neighbor_dist,target_x,target_y,target_z,tracking_error_mag,collision_flag
0.046,-0.0,-0.0,0.0646,-0.0,-0.0001,1.4613,0.5308,0.4661,0.5606,0.8631,-0.0001,-0.0018,-0.0006,0.0019,0.0,6.838,0.5308,0.4661,0.5606,0.8631,1
0.087,-0.0,-0.0,0.12,-0.0,-0.0001,1.2296,0.531,0.4672,0.6018,0.8558,0.001,0.0008,-0.0006,0.0014,0.0,6.837,0.625,0.375,1.0,1.1427,0
0.129,0.0,-0.0,0.167,0.0012,0.0005,1.0555,0.5312,0.4686,0.6478,0.8561,0.0009,-0.0002,0.0006,0.0011,0.0,6.836,0.125,0.125,1.0,0.8515,0
0.171,0.0002,-0.0,0.208,0.0091,-0.0021,0.9304,0.5315,0.4697,0.6775,0.8505,-0.0006,0.0001,0.0001,0.0006,0.0,6.835,0.125,0.125,1.0,0.8114,0
0.212,0.0009,-0.0005,0.2446,0.0227,-0.0232,0.8388,0.532,0.4706,0.7042,0.8457,0.0002,0.0006,-0.0015,0.0016,0.0,6.834,0.125,0.125,1.0,0.7758,0
0.254,0.002,-0.002,0.2747,0.0294,-0.0495,0.6134,0.6879,0.6553,0.9681,1.1761,0.0003,-0.0,-0.0004,0.0005,0.0,6.593,0.125,0.125,1.0,0.7466,0
0.295,0.0033,-0.005,0.2949,0.0301,-0.0924,0.391,0.6887,0.6539,0.9819,1.173,-0.0001,0.0001,-0.0,0.0002,0.0,6.593,0.125,0.125,1.0,0.7272,0
0.337,0.0043,-0.0108,0.3082,0.0152,-0.189,0.2745,0.6894,0.6508,0.9909,1.1719,-0.0005,0.0,0.0005,0.0007,0.0,6.595,0.125,0.125,1.0,0.7153,0
0.379,0.0037,-0.022,0.3183,-0.0504,-0.3407,0.2239,0.6891,0.6417,0.9992,1.1721,-0.0004,0.0,0.0003,0.0005,0.0,6.602,0.125,0.125,1.0,0.7078,0
0.42,-0.0014,-0.0401,0.3268,-0.1913,-0.5058,0.1851,0.6859,0.6296,1.0041,1.1746,0.0002,-0.0,0.0008,0.0009,0.0,6.612,0.125,0.125,1.0,0.7046,0
0.462,-0.013,-0.0639,0.3319,-0.3494,-0.6174,0.0626,0.8104,0.7227,1.1199,1.3848,-0.0001,-0.0006,-0.0001,0.0006,0.0,6.459,0.125,0.125,1.0,0.7078,0
0.503,-0.0322,-0.0916,0.3317,-0.5597,-0.7026,-0.0592,0.7919,0.6965,1.1186,1.3854,0.0,0.0001,-0.0002,0.0002,0.0,6.49,0.125,0.125,1.0,0.7199,0
0.541,-0.0577,-0.1192,0.3272,-0.7823,-0.7587,-0.17,0.7708,0.6745,1.1138,1.3911,0.0002,0.0009,-0.0002,0.001,0.0,6.521,0.125,0.125,1.0,0.7387,0
0.582,-0.0962,-0.1517,0.3174,-1.0402,-0.7887,-0.2847,0.7429,0.6512,1.1057,1.4036,0.0002,-0.0,-0.0004,0.0005,0.0,6.557,0.125,0.125,1.0,0.769,0
0.624,-0.1454,-0.1845,0.3036,-1.2913,-0.7834,-0.3635,0.708,0.6276,1.0949,1.4191,0.0003,-0.0003,0.0002,0.0004,0.0,6.598,0.125,0.125,1.0,0.8086,0
0.666,-0.2034,-0.2168,0.2858,-1.4726,-0.7697,-0.4727,0.7037,0.6249,1.1571,1.5134,-0.0005,0.002,0.0025,0.0032,0.0,6.603,0.125,0.125,1.0,0.8572,0
0.707,-0.2688,-0.2486,0.2654,-1.6426,-0.7601,-0.4899,0.6548,0.6025,1.1415,1.5313,0.0001,0.001,0.0009,0.0014,0.0,6.654,0.125,0.125,1.0,0.9134,0
0.749,-0.3403,-0.2803,0.2458,-1.7651,-0.763,-0.466,0.6503,0.5891,1.1661,1.6075,0.0003,0.0001,-0.0007,0.0008,0.0,6.666,0.125,0.125,1.0,0.9745,0
0.79,-0.394,-0.2839,0.2287,-1.1104,0.199,-0.4292,0.6309,0.5795,1.1426,1.6221,-0.0007,0.0006,-0.0007,0.0011,0.0,6.687,0.125,0.125,1.0,1.0156,1
0.832,-0.4398,-0.273,0.2079,-1.0818,0.3204,-0.571,0.5976,0.5868,1.1281,1.6316,0.0002,0.0001,0.0008,0.0009,0.0,6.705,0.125,0.125,1.0,1.0511,0
0.874,-0.4835,-0.2563,0.1793,-1.0196,0.4674,-0.7928,0.5656,0.5977,1.1088,1.6413,-0.0001,0.0005,-0.0003,0.0005,0.0,6.72,0.125,0.125,1.0,1.0905,0
0.915,-0.5243,-0.2336,0.1397,-0.946,0.6052,-1.0894,0.5258,0.6185,1.0726,1.6428,-0.0,0.0011,0.0,0.0011,0.0,6.734,0.125,0.125,1.0,1.1359,0
0.957,-0.5555,-0.2078,0.1282,-0.6222,0.6381,0.0529,0.5071,0.6898,1.1104,1.7028,-0.0001,0.0002,-0.0004,0.0005,0.0,6.697,0.125,0.125,1.0,1.1549,1
0.998,-0.578,-0.1791,0.1294,-0.473,0.7316,0.0091,0.4913,0.7119,1.1122,1.7038,-0.0004,-0.0003,-0.0006,0.0008,0.0,6.694,0.125,0.125,1.0,1.1596,1
1.04,-0.5943,-0.1462,0.1274,-0.3292,0.8415,-0.1263,0.4765,0.7455,1.1118,1.7061,-0.0003,-0.0003,-0.0015,0.0016,0.0,6.681,0.125,0.125,1.0,1.163,1
1.082,-0.6039,-0.1102,0.1252,-0.1543,0.8742,0.0164,0.4704,0.7732,1.1109,1.7048,-0.0004,-0.0005,-0.0001,0.0006,0.0,6.667,0.125,0.125,1.0,1.1627,1
1.123,-0.6079,-0.0726,0.1246,-0.0471,0.9121,0.0072,0.4682,0.802,1.111,1.7018,0.0003,-0.0005,0.0013,0.0015,0.0,6.648,0.125,0.125,1.0,1.1587,1
1.165,-0.6075,-0.0338,0.1248,0.0575,0.948,0.0032,0.4062,0.8323,1.1232,1.6656,0.0001,0.0001,-0.0009,0.0009,0.0,6.674,0.125,0.125,1.0,1.1522,1
1.206,-0.6028,0.0065,0.1249,0.154,0.9833,0.0015,0.4084,0.8609,1.1239,1.6585,-0.0003,-0.0003,-0.0002,0.0005,0.0,6.653,0.125,0.125,1.0,1.1444,1
1.248,-0.5943,0.0483,0.125,0.2438,1.0188,0.0007,0.4131,0.8904,1.1247,1.6504,-0.0007,-0.0001,0.0017,0.0019,0.0,6.629,0.125,0.125,1.0,1.1354,1
1.29,-0.5824,0.0917,0.1248,0.3228,1.0554,0.004,0.4229,0.9312,1.1258,1.6485,-0.0001,-0.0007,-0.0002,0.0008,0.0,6.595,0.125,0.125,1.0,1.1259,1
1.331,-0.5671,0.1365,0.1248,0.4018,1.0908,0.0034,0.4328,0.9629,1.1267,1.6391,-0.0007,0.0006,-0.0011,0.0015,0.0,6.566,0.125,0.125,1.0,1.1158,1
1.373,-0.5485,0.1827,0.1247,0.4859,1.1201,0.0069,0.466,1.0271,1.1428,1.667,-0.0003,-0.0006,0.0008,0.001,0.0,6.499,0.125,0.125,1.0,1.106,1
1.414,-0.5263,0.2301,0.1246,0.5707,1.1498,-0.0114,0.4891,1.0735,1.1427,1.667,-0.0002,0.0005,0.0001,0.0006,0.0,6.451,0.125,0.125,1.0,1.0962,1
1.46,-0.4973,0.2829,0.1246,0.684,1.1556,0.006,0.5093,1.1089,1.1424,1.6527,-0.0005,-0.001,-0.0014,0.0018,0.0,6.412,0.125,0.125,1.0,1.0856,1
1.502,-0.4664,0.3311,0.1247,0.793,1.1519,0.0064,0.5335,1.1995,1.1316,1.6637,-0.0002,0.0005,-0.0004,0.0007,0.0,6.335,0.125,0.125,1.0,1.0763,1
1.543,-0.4307,0.3788,0.1246,0.9078,1.1322,0.0078,0.5592,1.2343,1.1317,1.651,-0.0001,0.0006,-0.0002,0.0006,0.0,6.292,0.125,0.125,1.0,1.0675,1
1.585,-0.3899,0.4251,0.1248,1.0382,1.0919,0.0041,0.5881,1.2684,1.1318,1.6375,0.0006,0.0009,0.0009,0.0014,0.0,6.248,0.125,0.125,1.0,1.0588,1
1.627,-0.3436,0.4694,0.1249,1.1681,1.0367,0.0018,0.6322,1.3119,1.1321,1.636,-0.0018,0.0007,-0.0014,0.0024,0.0,6.186,0.125,0.125,1.0,1.0507,1
1.668,-0.2921,0.5112,0.1249,1.2913,0.9719,0.0022,0.6692,1.3428,1.1323,1.6219,-0.0006,0.0001,-0.0001,0.0006,0.0,6.138,0.125,0.125,1.0,1.0435,1
1.71,-0.2356,0.5501,0.1249,1.4104,0.9001,0.0009,0.7295,1.4825,1.1272,1.6749,-0.0001,0.0,0.0008,0.0008,0.0,6.002,0.125,0.125,1.0,1.0375,1
1.751,-0.1742,0.5859,0.125,1.5225,0.8258,0.0004,0.7887,1.5171,1.126,1.6723,-0.0003,-0.0003,0.0002,0.0005,0.0,5.934,0.125,0.125,1.0,1.0332,1
1.793,-0.1083,0.6186,0.125,1.6276,0.7521,0.0005,0.8365,1.5407,1.1252,1.6564,-0.0004,-0.0002,0.0002,0.0005,0.0,5.883,0.125,0.125,1.0,1.0314,1
1.835,-0.0382,0.6483,0.1249,1.7263,0.6804,0.0021,0.887,1.5624,1.1244,1.6403,-0.0005,0.0009,0.0002,0.001,0.0,5.83,0.125,0.125,1.0,1.0326,1
1.876,0.0359,0.6751,0.1249,1.8193,0.6135,0.0017,0.9583,1.5884,1.1231,1.6375,-0.0012,-0.0001,-0.0012,0.0017,0.0,5.759,0.125,0.125,1.0,1.0375,1
1.918,0.1137,0.6992,0.125,1.9073,0.5518,0.0008,1.0426,1.6025,1.1009,1.6221,0.0013,0.0001,-0.0006,0.0014,0.0,5.686,0.125,0.125,1.0,1.0467,1
