time,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,meas_x,meas_y,meas_z,gnss_error_mag,wind_x,wind_y,wind_z,wind_mag,rep_force_mag,nearest_neighbor_dist,target_x,target_y,target_z,tracking_error_mag,collision_flag
0.046,-1.0,-0.0,0.0594,-0.0,-0.0001,1.3162,-0.5317,0.4914,0.5857,0.859,0.0008,-0.0008,-0.0017,0.002,0.0,6.819,-1.0,0.0,0.0,0.0594,1
0.087,-1.0,-0.0,0.1087,-0.0,-0.0001,1.0736,-0.5298,0.491,0.6235,0.8528,-0.0001,-0.0009,0.0003,0.0009,0.0,6.821,-1.0,0.0,0.0,0.1087,0
0.129,-1.0,-0.0,0.1479,-0.0,-0.0002,0.8327,-0.5273,0.4903,0.6637,0.8544,0.0005,-0.0,-0.0,0.0005,0.0,6.823,-2.0,0.5,0.0,1.1278,0
0.171,-1.0,-0.0,0.1771,0.0,-0.0002,0.5932,-0.5256,0.4898,0.6864,0.8511,0.0001,0.0004,-0.0003,0.0005,0.0,6.825,-2.0,0.5,0.0,1.132,0
0.212,-1.0,-0.0,0.1964,0.0,-0.0002,0.3552,-0.5237,0.4893,0.7025,0.85,-0.0003,-0.0002,0.0011,0.0011,0.0,6.826,-2.0,0.5,0.0,1.1352,0
0.254,-1.0,-0.0,0.2057,0.0,-0.0003,0.1187,-0.3073,0.7166,0.9392,1.2375,-0.0,-0.0007,-0.0001,0.0007,0.0,6.825,-2.0,0.5,0.0,1.1368,0
0.295,-1.0,-0.0001,0.2053,0.0001,-0.0004,-0.1163,-0.3073,0.7153,0.9377,1.2361,0.0001,-0.0001,-0.0,0.0001,0.0,6.825,-2.0,0.5,0.0,1.1368,0
0.337,-1.0,-0.0001,0.1951,0.0001,-0.0004,-0.3401,-0.3074,0.7139,0.9298,1.2365,0.0001,0.0001,-0.0003,0.0003,0.0,6.826,-1.4648,0.9846,0.637,1.1751,0
0.379,-1.0,-0.0001,0.1781,0.0008,0.0023,-0.4489,-0.3076,0.712,0.9116,1.2347,-0.0001,0.0001,-0.0001,0.0001,0.0,6.827,-1.4559,1.0178,0.637,1.206,0
0.42,-0.9999,0.0003,0.1586,0.0024,0.0165,-0.4881,-0.2574,0.7828,0.9682,1.3487,-0.0,-0.0,0.0001,0.0001,0.0,6.817,-1.4416,1.0672,0.637,1.2498,0
0.462,-0.9998,0.0016,0.1361,0.0012,0.0528,-0.492,-0.2564,0.7829,0.953,1.3529,0.0005,0.0004,-0.0001,0.0007,0.0,6.818,-1.2753,1.2879,0.955,1.5496,0
0.503,-1.0,0.0059,0.1234,-0.0115,0.1481,-0.1842,-0.2552,0.7859,0.9397,1.3526,-0.0002,0.0,0.0002,0.0003,0.0,6.817,-1.27,1.3042,0.955,1.5653,0
0.541,-1.001,0.0134,0.1192,-0.0411,0.2396,-0.0715,-0.1676,0.8304,0.9652,1.4414,0.0004,0.0006,-0.0003,0.0008,0.0,6.853,-1.2502,1.3459,0.993,1.6128,0
0.582,-1.0043,0.0263,0.119,-0.1209,0.3688,0.0428,-0.1708,0.8383,0.9659,1.4392,-0.0002,0.0006,0.0003,0.0007,0.0,6.845,-1.2443,1.362,0.993,1.6141,0
0.624,-1.0124,0.0447,0.1225,-0.2604,0.4978,0.1076,-0.1218,0.8733,0.9663,1.4805,0.0002,0.0,0.0005,0.0005,0.0,6.859,-1.2322,1.3941,0.993,1.6208,0
0.666,-1.0276,0.0679,0.1274,-0.4597,0.6024,0.1222,-0.1363,0.8953,0.9738,1.4816,-0.0004,0.0001,-0.0007,0.0008,0.0,6.834,-1.2195,1.4259,0.993,1.6218,0
0.707,-1.0526,0.0946,0.1327,-0.7378,0.6685,0.1518,-0.1543,0.9146,0.9796,1.4821,-0.0001,-0.0003,-0.0003,0.0004,0.0,6.808,-1.0864,1.5316,1.12,1.7438,0
0.749,-1.0901,0.123,0.1395,-1.0202,0.6843,0.155,-0.2019,0.9716,1.017,1.5096,0.0002,-0.0001,0.0003,0.0004,0.0,6.735,-1.0796,1.5474,1.12,1.7292,0
0.79,-1.1381,0.1513,0.1451,-1.2549,0.6702,0.1194,-0.2508,0.9984,1.0252,1.5097,0.0008,0.0,-0.0005,0.001,0.0,6.68,-1.0584,1.5943,1.12,1.7433,0
